episodeKey,suite,taskId,seed,initStateId,beforeStage,beforeRunName,beforeAttempt,beforeBenchSuccess,beforeAgentLabel,beforeAgentOutcome,beforeInstruction,beforeSteps,beforeHostReason,beforeResultSha256,beforeFinishSha256,beforeTrajectorySha256,round1Stage,round1RunName,round1Attempt,round1BenchSuccess,round1AgentLabel,round1AgentOutcome,round1Instruction,round1Steps,round1HostReason,round1ResultSha256,round1FinishSha256,round1TrajectorySha256,afterStage,afterRunName,afterAttempt,afterBenchSuccess,afterAgentLabel,afterAgentOutcome,afterInstruction,afterSteps,afterHostReason,afterResultSha256,afterFinishSha256,afterTrajectorySha256
libero_spatial_t00_r00,libero_spatial,0,0,0,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,268,libero_success,a09182a4f8f1ed82742844f27c9f7687e37c3ff6be61dd98c955bf79b2af37f5,,04ac99d7a1f339747235199903b4ec7e749d68dfa9e5c169cbfe3cb6fd8ce6a5,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,268,libero_success,a09182a4f8f1ed82742844f27c9f7687e37c3ff6be61dd98c955bf79b2af37f5,,04ac99d7a1f339747235199903b4ec7e749d68dfa9e5c169cbfe3cb6fd8ce6a5,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,268,libero_success,a09182a4f8f1ed82742844f27c9f7687e37c3ff6be61dd98c955bf79b2af37f5,,04ac99d7a1f339747235199903b4ec7e749d68dfa9e5c169cbfe3cb6fd8ce6a5
libero_spatial_t00_r01,libero_spatial,0,1,1,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,313,libero_success,3abf64f9ae7c8b26afa05d4479acb640c452a7786345317e049ea6e888025813,,f8ea644b5fe57b9ff9730cfcd1354dc6fcf6570199df1e25f217a81ab8203270,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,313,libero_success,3abf64f9ae7c8b26afa05d4479acb640c452a7786345317e049ea6e888025813,,f8ea644b5fe57b9ff9730cfcd1354dc6fcf6570199df1e25f217a81ab8203270,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,313,libero_success,3abf64f9ae7c8b26afa05d4479acb640c452a7786345317e049ea6e888025813,,f8ea644b5fe57b9ff9730cfcd1354dc6fcf6570199df1e25f217a81ab8203270
libero_spatial_t00_r02,libero_spatial,0,2,2,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,261,libero_success,9ddfa3cf4e954b4d1defa22025766ad283ee14e3c3fc40d0683a2a6e13c17e04,,38bb483ca0db4605ede3991ad83cc4c95a8f1410a1ac459774d29dfdae36f550,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,261,libero_success,9ddfa3cf4e954b4d1defa22025766ad283ee14e3c3fc40d0683a2a6e13c17e04,,38bb483ca0db4605ede3991ad83cc4c95a8f1410a1ac459774d29dfdae36f550,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,261,libero_success,9ddfa3cf4e954b4d1defa22025766ad283ee14e3c3fc40d0683a2a6e13c17e04,,38bb483ca0db4605ede3991ad83cc4c95a8f1410a1ac459774d29dfdae36f550
libero_spatial_t00_r03,libero_spatial,0,3,3,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,302,libero_success,e2701b667551126946a1b66551ae56d4732e5e32af96b37e55e86c67c486b11a,,45206a1809f0cd4efae1a7049ca6f8682e9923e784e25ec795e9df70cc4fbfb5,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,302,libero_success,e2701b667551126946a1b66551ae56d4732e5e32af96b37e55e86c67c486b11a,,45206a1809f0cd4efae1a7049ca6f8682e9923e784e25ec795e9df70cc4fbfb5,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,302,libero_success,e2701b667551126946a1b66551ae56d4732e5e32af96b37e55e86c67c486b11a,,45206a1809f0cd4efae1a7049ca6f8682e9923e784e25ec795e9df70cc4fbfb5
libero_spatial_t00_r04,libero_spatial,0,4,4,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,297,libero_success,e27e2a8ccb489cb79d44134b93412fbc14848297464893a8d12417b55e95e41f,,2aeeca1821a5bcb89230c0c37640159c4f7a93b0a3753d96cc7ca5dc87392e96,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,297,libero_success,e27e2a8ccb489cb79d44134b93412fbc14848297464893a8d12417b55e95e41f,,2aeeca1821a5bcb89230c0c37640159c4f7a93b0a3753d96cc7ca5dc87392e96,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,297,libero_success,e27e2a8ccb489cb79d44134b93412fbc14848297464893a8d12417b55e95e41f,,2aeeca1821a5bcb89230c0c37640159c4f7a93b0a3753d96cc7ca5dc87392e96
libero_spatial_t00_r05,libero_spatial,0,5,5,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,306,libero_success,e117ab0456b2b7dcd165be8c712fd1f5bfc1f49ff8b478a8663d95a18566023a,,7e2cd7c4dd2fbbee423188088026a66d326632189e8c0a4c421e826faca36eee,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,306,libero_success,e117ab0456b2b7dcd165be8c712fd1f5bfc1f49ff8b478a8663d95a18566023a,,7e2cd7c4dd2fbbee423188088026a66d326632189e8c0a4c421e826faca36eee,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,306,libero_success,e117ab0456b2b7dcd165be8c712fd1f5bfc1f49ff8b478a8663d95a18566023a,,7e2cd7c4dd2fbbee423188088026a66d326632189e8c0a4c421e826faca36eee
libero_spatial_t00_r06,libero_spatial,0,6,6,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,280,libero_success,e8e992c57c2aa82d1f341caf6210341c8d8d64982ad01ea5c53a8460f645f844,,6041aadfe20aefc6c643d78fea7552f7ad3aa82bee15af00e34cfd1ac384cc09,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,280,libero_success,e8e992c57c2aa82d1f341caf6210341c8d8d64982ad01ea5c53a8460f645f844,,6041aadfe20aefc6c643d78fea7552f7ad3aa82bee15af00e34cfd1ac384cc09,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,280,libero_success,e8e992c57c2aa82d1f341caf6210341c8d8d64982ad01ea5c53a8460f645f844,,6041aadfe20aefc6c643d78fea7552f7ad3aa82bee15af00e34cfd1ac384cc09
libero_spatial_t00_r07,libero_spatial,0,7,7,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,292,libero_success,c0e5ddeb590ab2022aeeb1342d85fcbdf6c027f61083ac92c621a7796b43b0b4,,21fce59b5928f06cf47dd8f88beeb2569259b38e2105af6d2b0db00eb30e2541,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,292,libero_success,c0e5ddeb590ab2022aeeb1342d85fcbdf6c027f61083ac92c621a7796b43b0b4,,21fce59b5928f06cf47dd8f88beeb2569259b38e2105af6d2b0db00eb30e2541,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,292,libero_success,c0e5ddeb590ab2022aeeb1342d85fcbdf6c027f61083ac92c621a7796b43b0b4,,21fce59b5928f06cf47dd8f88beeb2569259b38e2105af6d2b0db00eb30e2541
libero_spatial_t00_r08,libero_spatial,0,8,8,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,319,libero_success,db93a04cfa9d40c0ebc78ae59dcef1a53f735a410167061336bf0e475c671064,,9374de8d4c59cd52e9617371013e9f30253b21c9de1d53884939734624f5da92,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,319,libero_success,db93a04cfa9d40c0ebc78ae59dcef1a53f735a410167061336bf0e475c671064,,9374de8d4c59cd52e9617371013e9f30253b21c9de1d53884939734624f5da92,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,319,libero_success,db93a04cfa9d40c0ebc78ae59dcef1a53f735a410167061336bf0e475c671064,,9374de8d4c59cd52e9617371013e9f30253b21c9de1d53884939734624f5da92
libero_spatial_t00_r09,libero_spatial,0,9,9,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,265,libero_success,30935e2b1cc03d504017490fefd4232a415038bc7879afee0235bab1039f33f4,,f686720eb7e9e7bc611b9a8c299cac27b51e80f504fab4fb1215d8126f468fe8,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,265,libero_success,30935e2b1cc03d504017490fefd4232a415038bc7879afee0235bab1039f33f4,,f686720eb7e9e7bc611b9a8c299cac27b51e80f504fab4fb1215d8126f468fe8,baseline,astra_libero_v5_calibrated_parallel10_r4,attempt_001,True,unknown,,pick up the black bowl between the plate and the ramekin and place it on the plate,265,libero_success,30935e2b1cc03d504017490fefd4232a415038bc7879afee0235bab1039f33f4,,f686720eb7e9e7bc611b9a8c299cac27b51e80f504fab4fb1215d8126f468fe8
